
8.76,16.46,14.47,1197,Critical Risk
7.48,27.45,1.91,89,Low Risk
7.94,34.62,1.89,195,Low Risk
8.73,18.80,0.74,831,Moderate Risk
7.98,30.85,19.15,1137,Critical Risk
6.03,33.16,14.88,1400,Critical Risk
7.52,33.87,7.39,672,Moderate Risk
7.62,34.20,6.28,922,Moderate Risk
6.98,25.43,7.32,673,Moderate Risk
8.08,34.55,15.61,1366,Critical Risk
8.77,30.15,13.40,1238,Critical Risk
8.74,18.23,4.11,930,Moderate Risk
7.08,24.54,3.90,415,Low Risk
5.90,29.37,2.42,1129,Critical Risk
8.95,19.95,13.38,1375,Critical Risk
8.44,27.81,15.41,1192,Critical Risk
5.94,28.33,5.67,1262,Critical Risk
8.72,18.25,0.91,524,Moderate Risk
8.54,26.30,2.10,909,Moderate Risk
7.32,30.43,19.37,1315,Critical Risk
7.57,24.98,6.26,524,Moderate Risk
6.90,15.24,15.50,1083,Critical Risk
5.69,15.18,12.68,1114,Critical Risk
6.67,22.14,7.95,851,Moderate Risk
8.31,33.52,4.51,404,Low Risk
5.52,19.57,2.87,1166,Critical Risk
6.67,27.69,12.49,1456,Critical Risk
6.89,19.44,15.61,1262,Critical Risk
7.38,21.43,13.06,1200,Critical Risk
8.72,31.96,10.84,1109,Critical Risk
6.71,29.58,1.32,93,Low Risk
6.71,16.91,19.39,1226,Critical Risk
8.08,23.57,16.07,1094,Critical Risk
7.08,15.58,6.21,746,Moderate Risk
6.29,24.62,19.61,1278,Critical Risk
7.08,28.25,12.24,1135,Critical Risk
5.99,17.37,11.86,1372,Critical Risk
6.12,20.78,15.09,1209,Critical Risk
7.24,22.96,16.33,1162,Critical Risk
6.97,33.39,13.30,1417,Critical Risk
8.70,34.87,3.00,704,Moderate Risk
6.77,15.90,7.10,637,Moderate Risk
7.53,30.22,18.60,1327,Critical Risk
7.71,22.43,4.88,417,Low Risk
5.55,22.85,7.76,1338,Critical Risk
7.82,30.09,8.93,928,Moderate Risk
6.12,33.37,9.07,540,Moderate Risk
8.86,34.02,12.45,1237,Critical Risk
6.02,26.54,18.89,1374,Critical Risk
6.95,22.14,5.19,933,Moderate Risk
5.80,30.75,2.87,1400,Critical Risk
8.99,20.02,4.35,876,Moderate Risk
7.26,26.28,17.80,1409,Critical Risk
7.58,22.17,13.09,1158,Critical Risk
5.73,28.13,6.08,1158,Critical Risk
8.12,19.81,16.41,1474,Critical Risk
6.23,18.83,17.30,1415,Critical Risk
8.64,33.36,17.01,1334,Critical Risk
6.22,17.04,18.42,1473,Critical Risk
6.17,25.12,5.42,625,Moderate Risk
5.63,19.42,15.22,1395,Critical Risk
7.15,15.78,9.48,525,Moderate Risk
7.48,15.72,16.92,1379,Critical Risk
5.73,18.50,14.71,1177,Critical Risk
8.21,32.34,15.64,1368,Critical Risk
7.09,20.65,13.30,1396,Critical Risk
7.34,34.01,3.96,316,Low Risk
7.04,26.63,11.13,1071,Critical Risk
6.90,23.73,19.70,1311,Critical Risk
7.46,26.60,18.78,1452,Critical Risk
6.04,25.33,1.34,620,Moderate Risk
6.14,30.18,3.71,897,Moderate Risk
8.52,20.65,3.07,663,Moderate Risk
8.81,22.06,14.66,1185,Critical Risk
6.81,32.88,16.45,1455,Critical Risk
6.45,33.93,4.66,691,Moderate Risk
7.75,32.85,10.36,1443,Critical Risk
6.93,23.39,16.89,1160,Critical Risk
5.59,30.61,14.79,1308,Critical Risk
6.05,24.53,11.07,1171,Critical Risk
8.01,24.95,12.01,1142,Critical Risk
7.81,19.09,10.41,1462,Critical Risk
5.59,26.82,6.30,1354,Critical Risk
6.28,18.72,11.52,1327,Critical Risk
6.31,21.63,13.93,1097,Critical Risk
7.85,32.10,17.53,1117,Critical Risk
5.57,19.14,12.91,1051,Critical Risk
5.86,16.42,15.34,1428,Critical Risk
8.30,16.38,3.62,112,Low Risk
6.12,33.82,9.50,679,Moderate Risk
7.78,25.14,0.68,246,Low Risk
6.33,23.19,5.31,852,Moderate Risk
5.85,31.22,14.67,1128,Critical Risk
6.35,31.72,19.84,1401,Critical Risk
8.03,21.64,2.43,371,Low Risk
8.49,28.87,8.33,912,Moderate Risk
8.41,30.42,16.10,1128,Critical Risk
6.89,28.09,4.48,197,Low Risk
7.84,18.03,11.32,1381,Critical Risk
6.22,32.52,14.79,1455,Critical Risk
6.53,25.78,12.51,1315,Critical Risk
8.64,20.65,4.17,544,Moderate Risk
5.55,23.50,7.43,1117,Critical Risk
5.80,15.75,15.78,1396,Critical Risk
6.23,17.56,11.31,1328,Critical Risk
5.59,30.31,0.60,1331,Critical Risk
6.14,15.00,15.34,1283,Critical Risk
7.54,23.33,1.19,219,Low Risk
6.97,25.45,15.04,1142,Critical Risk
8.62,16.09,4.45,757,Moderate Risk
8.36,34.46,19.18,1218,Critical Risk
6.70,19.52,7.67,699,Moderate Risk
6.41,21.08,6.88,553,Moderate Risk
6.83,21.08,3.40,187,Low Risk
7.57,19.61,6.46,598,Moderate Risk
6.44,15.03,17.59,1117,Critical Risk
7.68,29.59,19.93,1057,Critical Risk
6.93,34.34,7.68,676,Moderate Risk
7.43,19.49,9.25,685,Moderate Risk
7.03,28.26,14.58,1214,Critical Risk
6.53,29.84,17.78,1127,Critical Risk
8.82,31.97,12.06,1286,Critical Risk
8.17,23.45,8.13,526,Moderate Risk
5.99,21.06,8.55,1419,Critical Risk
8.54,21.51,14.06,1337,Critical Risk
7.21,29.25,0.56,177,Low Risk
8.63,31.34,12.58,1391,Critical Risk
8.30,18.63,7.43,532,Moderate Risk
6.99,22.42,15.99,1457,Critical Risk
5.58,33.04,2.31,1390,Critical Risk
6.44,31.13,11.97,1453,Critical Risk
7.40,34.70,9.88,901,Moderate Risk
7.72,30.08,13.03,1060,Critical Risk
6.40,22.86,1.76,687,Moderate Risk
5.99,26.81,11.81,1261,Critical Risk
8.42,28.22,11.45,1297,Critical Risk
8.95,16.57,11.43,1080,Critical Risk
7.34,25.89,12.27,1124,Critical Risk
6.10,29.19,13.69,1109,Critical Risk
6.45,18.35,16.20,1497,Critical Risk
5.56,30.61,5.76,1102,Critical Risk
8.70,26.68,16.59,1080,Critical Risk
5.91,34.04,10.22,1236,Critical Risk
7.52,15.85,2.00,238,Low Risk
6.46,20.31,1.64,771,Moderate Risk
7.44,27.03,7.02,809,Moderate Risk
7.78,20.93,15.81,1349,Critical Risk
8.40,29.29,14.30,1221,Critical Risk
6.22,30.18,15.88,1183,Critical Risk
5.54,17.05,10.59,1057,Critical Risk
5.98,25.28,9.08,1173,Critical Risk
8.65,25.18,3.38,906,Moderate Risk
8.56,22.39,6.90,534,Moderate Risk
7.59,33.66,8.96,666,Moderate Risk
7.60,31.55,2.23,388,Low Risk
7.83,28.94,4.80,203,Low Risk
6.11,29.29,12.17,1242,Critical Risk
8.70,24.23,14.85,1449,Critical Risk
6.97,33.42,19.97,1171,Critical Risk
6.84,28.89,18.70,1288,Critical Risk
7.32,29.58,13.03,1072,Critical Risk
5.66,32.23,8.71,1225,Critical Risk
6.08,20.48,12.91,1270,Critical Risk
8.08,31.14,15.82,1385,Critical Risk
5.79,18.90,2.81,1118,Critical Risk
7.61,21.91,8.49,841,Moderate Risk
6.36,21.71,16.88,1130,Critical Risk
6.86,34.57,7.98,876,Moderate Risk
6.51,32.13,11.65,1078,Critical Risk
6.74,29.02,11.96,1176,Critical Risk
8.02,29.54,4.10,316,Low Risk
6.54,26.24,7.56,685,Moderate Risk
7.48,33.94,7.02,682,Moderate Risk
7.17,24.93,1.01,437,Low Risk
7.82,22.61,0.97,385,Low Risk
8.78,18.26,16.72,1492,Critical Risk
8.06,30.72,5.82,803,Moderate Risk
6.25,29.69,10.60,1310,Critical Risk
5.61,22.69,6.33,1123,Critical Risk
6.42,15.50,18.84,1361,Critical Risk
7.58,31.78,5.56,641,Moderate Risk
5.68,15.23,8.88,1212,Critical Risk
7.24,29.07,17.52,1497,Critical Risk
7.59,34.41,16.92,1219,Critical Risk
6.67,23.75,4.13,85,Low Risk
8.20,19.70,16.15,1360,Critical Risk
5.87,29.10,9.43,1050,Critical Risk
5.76,31.34,9.92,1121,Critical Risk
8.05,25.93,3.10,148,Low Risk
7.23,34.34,2.07,249,Low Risk
7.91,16.03,14.69,1340,Critical Risk
7.02,25.10,10.18,1453,Critical Risk
